country,iso_code,renewables_electricity,renewables_share_elec,renewables_share_energy
Algeria,DZA,0.7530978322029114,0.7448236346244812,0.2416809201240539
Argentina,ARG,46.79999923706055,31.797800064086918,14.802978515625
Armenia,ARM,2.6700000762939453,30.20362091064453,
Australia,AUS,99.33000183105467,35.487674713134766,14.733205795288086
Austria,AUT,68.11000061035156,86.72014617919922,43.347354888916016
Azerbaijan,AZE,3.5,11.957635879516602,4.303142070770264
Bangladesh,BGD,2.309999942779541,2.0288071632385254,1.0953214168548584
Belarus,BLR,1.409999966621399,3.1118955612182617,0.9688259363174438
Belgium,BEL,26.8700008392334,35.860137939453125,11.454360008239746
Bolivia,BOL,4.690000057220459,37.9757080078125,
Bosnia and Herzegovina,BIH,5.53000020980835,36.525760650634766,
Brazil,BRA,653.75,87.72106170654297,49.6159782409668
Bulgaria,BGR,11.539999961853027,31.079988479614254,16.424589157104492
Cambodia,KHM,6.400000095367432,40.71246719360352,
Canada,CAN,410.989990234375,65.52983093261719,27.156591415405277
Chile,CHL,62.38999938964844,69.89692687988281,32.25444793701172
China,CHN,3388.429931640625,33.640071868896484,17.472375869750977
Colombia,COL,56.31999969482422,64.35836029052734,26.09288215637207
Costa Rica,CRI,11.640000343322754,94.02262115478516,
Croatia,HRV,11.1899995803833,72.8515625,27.77817153930664
Cyprus,CYP,1.3600000143051147,23.77622413635254,10.795388221740724
Czechia,CZE,12.489999771118164,17.104904174804688,9.745923042297363
Denmark,DNK,31.209999084472656,88.03948974609375,41.722164154052734
Dominican Republic,DOM,4.900000095367432,18.46269798278809,
Ecuador,ECU,23.649999618530277,71.66666412353516,25.357561111450195
Egypt,EGY,27.270000457763672,11.584044456481934,5.778011798858643
El Salvador,SLV,5.920000076293945,92.5,
Estonia,EST,3.440000057220459,56.672157287597656,17.94626235961914
Finland,FIN,46.33000183105469,55.41866302490234,38.89441680908203
France,FRA,146.3699951171875,26.243881225585938,16.465389251708984
Georgia,GEO,11.43000030517578,80.15428161621094,
Germany,DEU,273.94000244140625,57.44542694091797,23.96800804138184
Greece,GRC,28.450000762939453,49.711692810058594,21.05491065979004
Hong Kong,HKG,0.5039335489273071,1.291317343711853,1.048100471496582
Hungary,HUN,12.130000114440918,31.77056121826172,12.70595359802246
Iceland,ISL,19.55864143371582,99.98544311523438,80.49809265136719
India,IND,407.4200134277344,19.80131721496582,9.146443367004396
Indonesia,IDN,72.34600067138672,19.28657341003418,10.954190254211426
Iran,IRN,23.920000076293945,6.168446063995361,1.4326231479644775
Iraq,IRQ,1.7643646001815796,1.0411851406097412,0.5842805504798889
Ireland,IRL,14.0,45.322113037109375,22.180316925048828
Israel,ISR,10.675311088562012,13.249972343444824,9.794842720031738
Italy,ITA,130.50999450683594,49.31791305541992,20.930578231811523
Japan,JPN,237.1199951171875,23.19475746154785,12.69704818725586
Kazakhstan,KAZ,17.6200008392334,14.92587947845459,5.119866847991943
Kenya,KEN,11.8100004196167,91.9066162109375,
Kuwait,KWT,1.909999966621399,2.17887282371521,0.07562967389822
Kyrgyzstan,KGZ,14.170000076293944,84.04507446289062,
Latvia,LVA,4.800000190734863,74.30340576171875,29.66905212402344
Lithuania,LTU,5.880000114440918,80.32786560058594,23.413942337036133
Luxembourg,LUX,1.409999966621399,90.38461303710938,14.278366088867188
Malaysia,MYS,39.0,19.675107955932617,8.281804084777832
Malta,MLT,0.3700000047683716,16.742080688476562,
Mexico,MEX,79.16999816894531,21.91375160217285,8.250967025756836
Moldova,MDA,0.6100000143051147,11.708253860473633,
Mongolia,MNG,0.8100000023841858,9.665870666503906,
Montenegro,MNE,2.2300000190734863,60.27027130126953,
Morocco,MAR,11.609999656677246,26.476625442504883,8.673474311828613
Myanmar,MMR,9.93000030517578,40.235008239746094,
Netherlands,NLD,62.09000015258789,50.76860046386719,18.1192569732666
New Zealand,NZL,37.81999969482422,85.06523132324219,42.55439376831055
Nigeria,NGA,9.239999771118164,23.02516746520996,
North Macedonia,MKD,1.919999957084656,33.10344696044922,16.037403106689453
Norway,NOR,153.61000061035156,98.39226531982422,71.81197357177734
Oman,OMN,1.8200000524520876,4.198385715484619,1.115182876586914
Pakistan,PAK,60.58000183105469,33.147300720214844,12.50697135925293
Peru,PER,37.84999847412109,59.27956008911133,26.656190872192383
Philippines,PHL,27.350000381469727,21.730493545532227,12.818432807922363
Poland,POL,50.79999923706055,29.84723854064941,13.045269966125488
Portugal,PRT,39.45000076293945,85.18678283691406,39.740760803222656
Puerto Rico,PRI,1.090000033378601,5.822649955749512,
Qatar,QAT,0.1400000005960464,0.2387448847293853,0.8107127547264099
Romania,ROU,25.190000534057617,47.65418243408203,19.111818313598636
Russia,RUS,219.6000061035156,18.128984451293945,5.99939489364624
Saudi Arabia,SAU,9.822165489196776,2.1604065895080566,0.7283918261528015
Serbia,SRB,11.600000381469728,31.250001907348636,
Singapore,SGP,2.940000057220459,4.932058334350586,0.5452377796173096
Slovakia,SVK,7.03000020980835,23.9686336517334,11.29531478881836
Slovenia,SVN,7.139999866485596,42.0,24.735876083374023
South Africa,ZAF,32.290000915527344,13.189821243286133,3.5567286014556885
South Korea,KOR,59.59999847412109,9.581530570983888,4.748178958892822
Spain,ESP,160.41000366210938,57.209598541259766,25.862646102905277
Sri Lanka,LKA,9.489999771118164,50.16193771362305,23.24974822998047
Sweden,SWE,120.01000213623048,69.45425415039062,51.31792831420898
Switzerland,CHE,52.88999938964844,67.2131118774414,39.86790084838867
Taiwan,TWN,31.34000015258789,10.868735313415527,6.268245697021484
Tajikistan,TJK,20.200000762939453,89.34100341796875,
Thailand,THA,29.649999618530277,14.858430862426758,7.402745723724365
Trinidad and Tobago,TTO,0.0070685693062841,0.0724836662411689,0.010788339190185
Tunisia,TUN,0.8299999833106995,3.984637498855591,
Turkey,TUR,155.64999389648438,45.61573028564453,19.78554916381836
Turkmenistan,TKM,0.0101376986131072,0.0272102952003479,0.0066617899574339
Ukraine,UKR,20.09000015258789,22.824359893798828,8.298776626586914
United Arab Emirates,ARE,15.61969757080078,8.81204891204834,2.5193514823913574
United Kingdom,GBR,144.82000732421875,51.4769172668457,21.292688369750977
United States,USA,1057.3299560546875,24.100008010864254,12.050454139709473
Uruguay,URY,16.34000015258789,94.61493682861328,
Uzbekistan,UZB,13.029911994934082,16.02933692932129,4.581725120544434
Venezuela,VEN,72.85570526123047,87.43866729736328,25.840307235717773
Vietnam,VNM,135.24000549316406,44.14847183227539,21.534109115600582
